"sub","image_file_stim1","pair_dist","within_block_dist","paired_status","condition","acc","temp_dist_resp","temp_rt","temp_acc","image_stem"
"sub-35","s_sh_04_1.jpg",NA,"","single","competing",1,"1_ITEM",1735.80000000019,1,"s_sh_04"
"sub-35","s_s_15_1.jpg",3,"close","paired","unique",1,"2_ITEM",2294.99999999982,1,"s_s_15"
"sub-35","s_a_12_1.jpg",7,"close","paired","unique",1,"2_ITEM",1259.60000000018,1,"s_a_12"
"sub-35","s_s_19_1.jpg",4,"close","paired","unique",1,"1_ITEM",1104.49999999991,0,"s_s_19"
"sub-35","s_sh_18_1.jpg",NA,"","single","competing",1,"1_ITEM",1115.89999999979,1,"s_sh_18"
"sub-35","s_sh_16_1.jpg",14,"far","paired","competing",1,"1_ITEM",1065.10000000009,0,"s_sh_16"
"sub-35","s_sh_23_1.jpg",16,"far","paired","competing",1,"2_ITEM",939.89999999979,1,"s_sh_23"
"sub-35","s_s_02_1.jpg",17,"far","paired","unique",1,"1_ITEM",1167.79999999999,0,"s_s_02"
"sub-35","s_a_14_1.jpg",3,"close","paired","unique",1,"2_ITEM",1017.00000000009,1,"s_a_14"
"sub-35","s_sh_08_1.jpg",NA,"","single","competing",1,"1_ITEM",1066.9000000002,1,"s_sh_08"
"sub-35","s_a_17_1.jpg",15,"far","paired","unique",1,"2_ITEM",1182.89999999991,1,"s_a_17"
"sub-35","s_sh_07_1.jpg",15,"far","paired","competing",1,"1_ITEM",1378.5,0,"s_sh_07"
"sub-35","s_s_01_1.jpg",16,"far","paired","unique",1,"1_ITEM",829.900000000198,0,"s_s_01"
"sub-35","s_a_16_1.jpg",16,"far","paired","unique",1,"2_ITEM",829.300000000163,1,"s_a_16"
"sub-35","s_a_15_1.jpg",NA,"","single","unique",1,"2_ITEM",1110.50000000017,0,"s_a_15"
"sub-35","s_sh_14_1.jpg",3,"close","paired","competing",1,"2_ITEM",1113.60000000009,1,"s_sh_14"
"sub-35","s_s_11_1.jpg",NA,"","single","unique",1,"1_ITEM",937.200000000012,1,"s_s_11"
"sub-35","s_a_07_1.jpg",NA,"","single","unique",1,"1_ITEM",1369.69999999981,1,"s_a_07"
"sub-35","s_sh_22_1.jpg",NA,"","single","competing",1,"1_ITEM",1420.20000000019,1,"s_sh_22"
"sub-35","s_sh_10_1.jpg",3,"close","paired","competing",1,"2_ITEM",796.499999999884,1,"s_sh_10"
"sub-35","s_s_16_1.jpg",NA,"","single","unique",1,"1_ITEM",1205.79999999981,1,"s_s_16"
"sub-35","t_m_05_1.jpg",NA,"","single","unique",1,"1_ITEM",2015.8,1,"t_m_05"
"sub-35","t_s_13_1.jpg",NA,"","single","competing",1,"1_ITEM",1029.50000000017,1,"t_s_13"
"sub-35","t_m_19_1.jpg",16,"far","paired","unique",1,"2_ITEM",2259.00000000009,1,"t_m_19"
"sub-35","t_s_08_1.jpg",13,"far","paired","competing",1,"2_ITEM",909.800000000105,1,"t_s_08"
"sub-35","t_s_15_1.jpg",NA,"","single","competing",1,"1_ITEM",1190.89999999982,1,"t_s_15"
"sub-35","t_s_24_1.jpg",NA,"","single","competing",1,"1_ITEM",1755.7000000001,1,"t_s_24"
"sub-35","t_i_19_1.jpg",13,"far","paired","unique",1,"2_ITEM",1950.49999999981,1,"t_i_19"
"sub-35","t_s_21_1.jpg",3,"close","paired","competing",1,"2_ITEM",1573.2999999999,1,"t_s_21"
"sub-35","t_i_10_1.jpg",17,"far","paired","unique",1,"2_ITEM",1405.49999999981,1,"t_i_10"
"sub-35","t_s_20_1.jpg",17,"far","paired","competing",1,"1_ITEM",2962.80000000009,0,"t_s_20"
"sub-35","t_m_13_1.jpg",NA,"","single","unique",1,"2_ITEM",2744.4,0,"t_m_13"
"sub-35","t_s_04_1.jpg",NA,"","single","competing",1,"1_ITEM",1631.1,1,"t_s_04"
"sub-35","t_s_18_1.jpg",17,"far","paired","competing",1,"2_ITEM",1730.10000000004,1,"t_s_18"
"sub-35","t_m_18_1.jpg",14,"far","paired","unique",1,"2_ITEM",1748.60000000018,1,"t_m_18"
"sub-35","t_s_12_1.jpg",4,"close","paired","competing",1,"2_ITEM",1583.50000000019,1,"t_s_12"
"sub-35","t_m_06_1.jpg",6,"close","paired","unique",1,"1_ITEM",1296.09999999992,0,"t_m_06"
"sub-35","t_m_03_1.jpg",4,"close","paired","unique",1,"1_ITEM",1814.69999999981,0,"t_m_03"
