Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Task Name,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial,Spreadsheet: stimulus_id,Spreadsheet: expected_goal,Spreadsheet: stimulus_name,Spreadsheet: c_group,Spreadsheet: condition,Spreadsheet: paired_status,Spreadsheet: stimulus_path,Spreadsheet: block_type,Manipulation: Spreadsheet,Store: enc_test_acc,sub_label
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2294x960,1835x650,Temporal Distance Task,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,$${counterbalance_group},,sub-74
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2294x960,1835x650,Temporal Distance Task,cb_05,1.0,temp_instructions,intro_screen,3tnme7,1.0,continue,,7003.099999928474,6986.9,7003.099999928474,7003.099999928474,6986.9,7003.099999928474,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-29,temp_instructions,,,Student,,,,,,,$${counterbalance_group},,sub-74
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2294x960,1835x650,Temporal Distance Task,cb_05,1.0,temp_instructions,intro_screen_2,52v7ur,2.0,continue,,16090.399999976155,16074.5,16090.399999976155,16090.399999976155,16074.5,16090.399999976155,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-39,temp_instructions,,,Student,,,,,,,$${counterbalance_group},,sub-74
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2294x960,1835x650,Temporal Distance Task,cb_05,1.0,temp_instructions,intro_screen_3,i7lvwx,3.0,continue,,7701.399999976158,7687.099999999998,7701.399999976158,7701.399999976158,7687.099999999998,7701.399999976158,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-67,temp_instructions,,,Student,,,,,,,$${counterbalance_group},,sub-74
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2294x960,1835x650,Temporal Distance Task,cb_05,1.0,temp_instructions,test_q1,5ieqx1,4.0,response,choice_3,12072.6,12055.9,12072.6,12072.6,12055.9,12072.6,1.0,0.0,0.0,,Click Response,choice_3,5.0,object-345,temp_instructions,,,Student,,,,,,,$${counterbalance_group},,sub-74
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2294x960,1835x650,Temporal Distance Task,cb_05,1.0,temp_instructions,score_corr,7ilvjr,5.0,continue,,974.2999999523164,967.0999999999983,974.2999999523164,974.2999999523164,967.0999999999983,974.2999999523164,1.0,0.0,0.0,,Click To Continue,Continue Button,3.0,object-23,temp_instructions,,,Student,,,,,,,$${counterbalance_group},,sub-74
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2294x960,1835x650,Temporal Distance Task,cb_05,1.0,temp_eventStart,Screen 1,dgtyxe,1.0,continue,,2434.199999952317,2417.900000000001,2434.199999952317,2434.199999952317,2417.900000000001,2434.199999952317,1.0,0.0,0.0,,Click To Continue,Next Button,3.0,object-43,temp_eventStart,,,Student,,,,,,,$${counterbalance_group},,sub-74
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2294x960,1835x650,Temporal Distance Task,cb_05,1.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,2392.600000023842,2384.400000000001,2392.600000023842,2392.600000023842,2384.400000000001,2392.600000023842,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,1.0,s_a_08_1,student_art,sewing machine,5.0,unique,paired,s_a_08_1.jpg,Student,$${counterbalance_group},,sub-74
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2294x960,1835x650,Temporal Distance Task,cb_05,2.0,temp_dist_trial,num_items,zn7si1,1.0,response,2_ITEM,2415.79999997616,2401.2000000000044,2415.79999997616,2415.79999997616,2401.2000000000044,2415.79999997616,1.0,0.0,0.0,,Click Response,2_count,5.0,object-49,temp_dist_trial,2.0,s_s_03_1,student_stem,petri dish,5.0,unique,paired,s_s_03_1.jpg,Student,$${counterbalance_group},,sub-74
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2294x960,1835x650,Temporal Distance Task,cb_05,2.0,temp_dist_trial,dist_items,qkpkxw,2.0,info,,3.3999999284715163,0.0,3.3999999284715163,3.3999999284715163,0.0,3.3999999284715163,1.0,0.0,0.0,,Slider,Slider,4.0,object-56,temp_dist_trial,2.0,s_s_03_1,student_stem,petri dish,5.0,unique,paired,s_s_03_1.jpg,Student,$${counterbalance_group},,sub-74
